query_id,query_text,positive_course_code,query_type,split,group_id
V001,Which course discusses file access and command line parameters?,CSE 1101,exact,validation,file_access
V002,Where are recurrence relations discussed?,CSE 1107,exact,validation,recurrence
V003,Which course covers Boolean minimization?,CSE 1203,exact,validation,boolean_minimization
V004,Where do we learn sorting with heaps?,CSE 2105,semantic,validation,heap_sort
V005,Which course studies cache design?,CSE 2113,exact,validation,cache_design
V006,Where can I learn CPU scheduling?,CSE 3101,exact,validation,cpu_scheduling
V007,Which subject teaches database normalization?,CSE 3109,exact,validation,normalization
V008,Which course studies heuristic search?,CSE 3209,exact,validation,heuristic_search
V009,Where are LL and LR parsers studied?,CSE 3211,exact,validation,lr_parsing
V010,Where can I study intrusion detection and firewalls?,CSE 4115,exact,validation,firewalls
V011,Which course teaches logistic regression?,CSE 4111,exact,validation,logistic_regression
V012,Where is semantic role labeling taught?,CSE 4121,exact,validation,semantic_roles
V013,Which subject covers pulse code modulation?,CSE 4105,exact,validation,pcm
V014,Where can I study restoring degraded images?,CSE 4101,semantic,validation,restoration
V015,Which course teaches dental surgery?,,negative,validation,dental
V016,Where do we learn ancient Egyptian archaeology?,,negative,validation,archaeology
V017,Which course teaches skateboarding tricks?,,negative,validation,skateboarding
V018,Where are violin bowing techniques taught?,,negative,validation,violin
V019,What time does my bus leave today?,,out_of_domain,validation,bus
V020,Which actor won an award last night?,,out_of_domain,validation,actor
V021,How much does a hotel room in Paris cost?,,out_of_domain,validation,hotel
V022,Which course covers equestrian dressage?,,negative,validation,dressage
V023,What is the current exchange rate for euros?,,out_of_domain,validation,exchange_rate
V024,Where can I study coral reef conservation?,,negative,validation,coral
