course_code,course_title,year,term,optional_group,source_page,source_pages,credits,contact_hours,description,raw_text,parent_course,course_type,generic_lab,search_text,record_id,source_conflicts,summary_metadata
CSE 2202,Algorithm Analysis and Design Laboratory,2nd Year,2nd Term,,6,[6],1.5,0L+3P,Laboratory works based on CSE 2201,"CSE 2202:  Algorithm Analysis and Design Laboratory
Credits: 1.5
Contact Hours: 0L+3P Hrs/Week
Laboratory works based on CSE 2201",CSE 2201,Laboratory,True,CSE 2202 Algorithm Analysis and Design Laboratory Algorithm Analysis and Design Laboratory Laboratory works based on CSE 2201,CSE_2202_2nd Year_2nd Term,[],"{'theory_hours': 0.0, 'practical_hours': 3.0, 'credits': 1.5, 'source_page': 5}"
CSE 2208,Numerical Methods Laboratory,2nd Year,2nd Term,,6,[6],1.5,0L+3P,"Solution of Non-linear Equations: Bi-section method, Secant method, False position method, Newton-Raphson method. Solution of Linear Equations: Algorithms for Gauss elimination, Gauss-Jordan elimination method, LU-factorization. Interpolation and Approximation: Newton forward and backward interpolation formula with errors. Numerical Integration: Simpson’s rule, One-third rule, Simpson’s three-eighths rule, Trapezium rule, Trapezoidal rule. Numerical Differentiation: Differentiation based on equal-interval interpolation, Second order derivative, Differentiation based on Lagrange’s interpolation. Solution of Differential Equations: Runge–Kutta method, Matrix inversion Curve Fitting: Least squares lines, Least square polynomials and Non-linear curve fitting.","CSE 2208:  Numerical Methods Laboratory
Credits: 1.5
Contact Hours: 0L+3P Hrs/Week
Solution of Non-linear Equations: Bi-section method, Secant method, False position method, Newton-Raphson method.
Solution of Linear Equations: Algorithms for Gauss elimination, Gauss-Jordan elimination method, LU-factorization.
Interpolation and Approximation: Newton forward and backward interpolation formula with errors.
Numerical Integration: Simpson’s rule, One-third rule, Simpson’s three-eighths rule, Trapezium rule, Trapezoidal rule.
Numerical Differentiation: Differentiation based on equal-interval interpolation, Second order derivative, Differentiation based on Lagrange’s
interpolation.
Solution of Differential Equations: Runge–Kutta method, Matrix inversion
Curve Fitting: Least squares lines, Least square polynomials and Non-linear curve fitting.",,Laboratory,False,"CSE 2208 Numerical Methods Laboratory Numerical Methods Laboratory Solution of Non-linear Equations: Bi-section method, Secant method, False position method, Newton-Raphson method. Solution of Linear Equations: Algorithms for Gauss elimination, Gauss-Jordan elimination method, LU-factorization. Interpolation and Approximation: Newton forward and backward interpolation formula with errors. Numerical Integration: Simpson’s rule, One-third rule, Simpson’s three-eighths rule, Trapezium rule, Trapezoidal rule. Numerical Differentiation: Differentiation based on equal-interval interpolation, Second order derivative, Differentiation based on Lagrange’s interpolation. Solution of Differential Equations: Runge–Kutta method, Matrix inversion Curve Fitting: Least squares lines, Least square polynomials and Non-linear curve fitting.",CSE_2208_2nd Year_2nd Term,[],"{'theory_hours': 0.0, 'practical_hours': 3.0, 'credits': 1.5, 'source_page': 5}"
CSE 2209,Theory of Computation,2nd Year,2nd Term,,6,[6],2.0,2L+0P,"Introduction: Formal language theory, Formal proof, Inductive proofs and Central concepts of automata theory. Finite Automata: Deterministic finite automata, Nondeterministic finite automata, Finite automata with ε-transitions, Equivalence and conversion of deterministic and nondeterministic finite automata. Regular Expressions and Languages: Regular expressions, Algebraic laws for regular expressions, Regular languages, Pumping lemma, Closure and decision properties of regular languages. Context Free Grammar and Languages: Context free grammars, Parsing (or derivation) and parse trees, Ambiguity in grammars and languages, Normal forms for context-free grammars, Pumping lemma for CFL’s, Closure and decision properties of CFL’s. Push Down Automata: Push down automata, Acceptance by empty store and final state, Equivalence between pushdown automata and context- free grammars, Deterministic push down automata. Turing Machines: Turing machines, The church-Turing machine, Techniques for Turing machine construction, Configurations, Computing with Turing machines, Restricted Turing machines, Turing machines and computers, Combining Turing machines.","CSE 2209: Theory of Computation
Credits: 2.0
Contact Hours: 2L+0P Hrs/Week
Introduction: Formal language theory, Formal proof, Inductive proofs and Central concepts of automata theory.
Finite Automata: Deterministic finite automata, Nondeterministic finite automata, Finite automata with ε-transitions, Equivalence and conversion
of deterministic and nondeterministic finite automata.
Regular Expressions and Languages: Regular expressions, Algebraic laws for regular expressions, Regular languages, Pumping lemma, Closure
and decision properties of regular languages.
Context Free Grammar and Languages: Context free grammars, Parsing (or derivation) and parse trees, Ambiguity in grammars and languages,
Normal forms for context-free grammars, Pumping lemma for CFL’s, Closure and decision properties of CFL’s.
Push Down Automata: Push down automata, Acceptance by empty store and final state, Equivalence between pushdown automata and context-
free grammars, Deterministic push down automata.
Turing Machines: Turing machines, The church-Turing machine, Techniques for Turing machine construction, Configurations, Computing with
Turing machines, Restricted Turing machines, Turing machines and computers, Combining Turing machines.",,Theory,False,"CSE 2209 Theory of Computation Theory of Computation Introduction: Formal language theory, Formal proof, Inductive proofs and Central concepts of automata theory. Finite Automata: Deterministic finite automata, Nondeterministic finite automata, Finite automata with ε-transitions, Equivalence and conversion of deterministic and nondeterministic finite automata. Regular Expressions and Languages: Regular expressions, Algebraic laws for regular expressions, Regular languages, Pumping lemma, Closure and decision properties of regular languages. Context Free Grammar and Languages: Context free grammars, Parsing (or derivation) and parse trees, Ambiguity in grammars and languages, Normal forms for context-free grammars, Pumping lemma for CFL’s, Closure and decision properties of CFL’s. Push Down Automata: Push down automata, Acceptance by empty store and final state, Equivalence between pushdown automata and context- free grammars, Deterministic push down automata. Turing Machines: Turing machines, The church-Turing machine, Techniques for Turing machine construction, Configurations, Computing with Turing machines, Restricted Turing machines, Turing machines and computers, Combining Turing machines.",CSE_2209_2nd Year_2nd Term,[],"{'theory_hours': 2.0, 'practical_hours': 0.0, 'credits': 2.0, 'source_page': 5}"
ECE 2213,Digital Electronics,2nd Year,2nd Term,,6,[6],3.0,3L+0P,"Logic Gates: Diode logic gates, Transistor gates, MOS gates. Logic Families: TTL, ECL, IIL and CMOS logic with operation details, Propagation delay, Product and noise immunity, Open collector and high impedance gates, Electronic circuits for flip-flops, Counters and register, Memory system, PLAs, PLDs, ADC, DAC design with applications, S/H circuits, LED, LCD and optically coupled oscillators. Wave Shaping: Diode wave shaping techniques, Clipping and clamping circuits, Comparator circuits, Switching circuits, Pulse transformers, Pulse transmission, Pulse generation, Monostable, Bistable and astable multivibrators, Schmitt trigger, Blocking oscillators and time base circuit, Timing circuits, Simple voltage sweeps, Linear current sweeps. Instruments: Digital meters, DMM, VTVM, Q meters, Statistical methods in measurements.","ECE 2213: Digital Electronics
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Logic Gates: Diode logic gates, Transistor gates, MOS gates.
Logic Families: TTL, ECL, IIL and CMOS logic with operation details, Propagation delay, Product and noise immunity, Open collector and high
impedance gates, Electronic circuits for flip-flops, Counters and register, Memory system, PLAs, PLDs, ADC, DAC design with applications, S/H
circuits, LED, LCD and optically coupled oscillators.
Wave Shaping: Diode wave shaping techniques, Clipping and clamping circuits, Comparator circuits, Switching circuits, Pulse transformers,
Pulse transmission, Pulse generation, Monostable, Bistable and astable multivibrators, Schmitt trigger, Blocking oscillators and time base circuit,
Timing circuits, Simple voltage sweeps, Linear current sweeps.
Instruments: Digital meters, DMM, VTVM, Q meters, Statistical methods in measurements.",,Theory,False,"ECE 2213 Digital Electronics Digital Electronics Logic Gates: Diode logic gates, Transistor gates, MOS gates. Logic Families: TTL, ECL, IIL and CMOS logic with operation details, Propagation delay, Product and noise immunity, Open collector and high impedance gates, Electronic circuits for flip-flops, Counters and register, Memory system, PLAs, PLDs, ADC, DAC design with applications, S/H circuits, LED, LCD and optically coupled oscillators. Wave Shaping: Diode wave shaping techniques, Clipping and clamping circuits, Comparator circuits, Switching circuits, Pulse transformers, Pulse transmission, Pulse generation, Monostable, Bistable and astable multivibrators, Schmitt trigger, Blocking oscillators and time base circuit, Timing circuits, Simple voltage sweeps, Linear current sweeps. Instruments: Digital meters, DMM, VTVM, Q meters, Statistical methods in measurements.",ECE_2213_2nd Year_2nd Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 5}"
ECE 2214,Digital Electronics Laboratory,2nd Year,2nd Term,,6,[6],1.5,0L+3P,Laboratory works based on EEE 2113,"ECE 2214: Digital Electronics Laboratory
Credits: 1.5
Contact Hours: 0L+3P Hrs/Week
Laboratory works based on EEE 2113",EEE 2113,Laboratory,True,ECE 2214 Digital Electronics Laboratory Digital Electronics Laboratory Laboratory works based on EEE 2113,ECE_2214_2nd Year_2nd Term,[],"{'theory_hours': 0.0, 'practical_hours': 3.0, 'credits': 1.5, 'source_page': 5}"
HUM 2207,Economics and Accounting,2nd Year,2nd Term,,6,[6],3.0,3L+0P,"Economics: Introduction: Definition of economics, Scope and importance of economics, Basic economic problems, Different economic systems, Production possibility frontier, Opportunity cost; Demand and Supply: Concept of demand and supply, Equilibrium of demand and supply, Application of equilibrium of demand and supply; Elasticity of Demand and Supply: Price elasticity, Cross price elasticity, Income elasticity, Calculation of elasticity, Application of elasticity; Consumer Behavior: Concepts of utility, Total, average and marginal utility, Law of diminishing marginal utility, Indifference curve, Budget line, Consumer equilibrium, Consumer’s surplus; Producer Behavior: Concepts of production, Iso- quant and Iso-cost line, Factors of production, Total, average and marginal product, Laws of diminishing returns, Returns to scale, Producer’s surplus, Total, average and marginal cost, Fixed and variable Cost, Short and long run cost, Externalities of economics; Basic Macroeconomics: National income, Investment, Inflation, Unemployment, Project analysis, NPV, IRR and their application, Cost benefit analysis; International Trade: Basic concepts of International trade, Theory of absolute and comparative advantage. Accounting: Introduction: Definition of accounts, Its need and importance, Accounting and its environment, Users of accounting information, Generally accepted accounting principles (GAAP), Relationship of accounting with engineering education, Business transactions, Step in the recording process, Rules of debit and credit, Double entry system of accounting, The journal, The ledger, Cash book, The trial balance, Financial statement. Cost Accounting: Concept of cost, Classification of cost, Statement of cost, Operating and service costing, Salary and wages/payroll account.","HUM 2207: Economics and Accounting
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Economics: Introduction: Definition of economics, Scope and importance of economics, Basic economic problems, Different economic systems,
Production possibility frontier, Opportunity cost; Demand and Supply: Concept of demand and supply, Equilibrium of demand and supply,
Application of equilibrium of demand and supply; Elasticity of Demand and Supply: Price elasticity, Cross price elasticity, Income elasticity,
Calculation of elasticity, Application of elasticity; Consumer Behavior: Concepts of utility, Total, average and marginal utility, Law of diminishing
marginal utility, Indifference curve, Budget line, Consumer equilibrium, Consumer’s surplus; Producer Behavior: Concepts of production, Iso-
quant and Iso-cost line, Factors of production, Total, average and marginal product, Laws of diminishing returns, Returns to scale, Producer’s
surplus, Total, average and marginal cost, Fixed and variable Cost, Short and long run cost, Externalities of economics; Basic Macroeconomics:
National income, Investment, Inflation, Unemployment, Project analysis, NPV, IRR and their application, Cost benefit analysis; International
Trade: Basic concepts of International trade, Theory of absolute and comparative advantage.
Accounting: Introduction: Definition of accounts, Its need and importance, Accounting and its environment, Users of accounting information,
Generally accepted accounting principles (GAAP), Relationship of accounting with engineering education, Business transactions, Step in the
recording process, Rules of debit and credit, Double entry system of accounting, The journal, The ledger, Cash book, The trial balance, Financial
statement.
Cost Accounting: Concept of cost, Classification of cost, Statement of cost, Operating and service costing, Salary and wages/payroll account.",,Theory,False,"HUM 2207 Economics and Accounting Economics and Accounting Economics: Introduction: Definition of economics, Scope and importance of economics, Basic economic problems, Different economic systems, Production possibility frontier, Opportunity cost; Demand and Supply: Concept of demand and supply, Equilibrium of demand and supply, Application of equilibrium of demand and supply; Elasticity of Demand and Supply: Price elasticity, Cross price elasticity, Income elasticity, Calculation of elasticity, Application of elasticity; Consumer Behavior: Concepts of utility, Total, average and marginal utility, Law of diminishing marginal utility, Indifference curve, Budget line, Consumer equilibrium, Consumer’s surplus; Producer Behavior: Concepts of production, Iso- quant and Iso-cost line, Factors of production, Total, average and marginal product, Laws of diminishing returns, Returns to scale, Producer’s surplus, Total, average and marginal cost, Fixed and variable Cost, Short and long run cost, Externalities of economics; Basic Macroeconomics: National income, Investment, Inflation, Unemployment, Project analysis, NPV, IRR and their application, Cost benefit analysis; International Trade: Basic concepts of International trade, Theory of absolute and comparative advantage. Accounting: Introduction: Definition of accounts, Its need and importance, Accounting and its environment, Users of accounting information, Generally accepted accounting principles (GAAP), Relationship of accounting with engineering education, Business transactions, Step in the recording process, Rules of debit and credit, Double entry system of accounting, The journal, The ledger, Cash book, The trial balance, Financial statement. Cost Accounting: Concept of cost, Classification of cost, Statement of cost, Operating and service costing, Salary and wages/payroll account.",HUM_2207_2nd Year_2nd Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 5}"
MATH 2207,"Complex variable, Vector Analysis and Statistics",2nd Year,2nd Term,,6,"[6, 7]",3.0,3L+0P,"Complex Variable: Complex number system, General functions of a complex variable, Limits and continuity of a function of complex variable and related theorems, Analytic functions, Complex differentiation, Sufficient condition for analyticity and Cauchy Riemann equations, Harmonic functions and conjugate harmonic functions, Construction of analytic functions when either part is given (Milne-Thomson method), Different types singularities, Line integral of a complex function, Cauchy’s integral theorem and converse of Cauchy’s theorem. Vector Analysis: Transformation of vectors on a plane: Scaling, Rotation, Translation, Linear dependence and independence of vectors, Scalar and vector fields, Differentiation of vectors together with elementary applications, Gradient, Divergence and curl of point functions and related forms, Green’s, Stokes’ and Gauss’ theorem and their applications. Statistics: Moment, Skewness and kurtosis, Random variables, Probability mass functions and probability density functions. Expectation: Expected value and variance with their properties. Discrete Probability Distributions: The Bernoulli and Poisson process, Binomial and Poisson probabilities, Distribution and properties. Continuous Probability Distributions: Normal variate and normal distribution, Properties of normal distribution, Standard normal variate and standard normal distribution, Properties of standard normal distribution, Uniform distribution and it’s properties.","MATH 2207: Complex variable, Vector Analysis and Statistics
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Complex Variable: Complex number system, General functions of a complex variable, Limits and continuity of a function of complex variable
and related theorems, Analytic functions, Complex differentiation, Sufficient condition for analyticity and Cauchy Riemann equations, Harmonic
functions and conjugate harmonic functions, Construction of analytic functions when either part is given (Milne-Thomson method), Different
types singularities, Line integral of a complex function, Cauchy’s integral theorem and converse of Cauchy’s theorem.
Vector Analysis: Transformation of vectors on a plane: Scaling, Rotation, Translation, Linear dependence and independence of vectors, Scalar
and vector fields, Differentiation of vectors together with elementary applications, Gradient, Divergence and curl of point functions and related
forms, Green’s, Stokes’ and Gauss’ theorem and their applications.
Statistics: Moment, Skewness and kurtosis, Random variables, Probability mass functions and probability density functions.
Expectation: Expected value and variance with their properties.
Discrete Probability Distributions: The Bernoulli and Poisson process, Binomial and Poisson probabilities, Distribution and properties.
Continuous Probability Distributions:  Normal variate and normal distribution, Properties of normal distribution, Standard normal variate and
standard normal distribution, Properties of standard normal distribution, Uniform distribution and it’s properties.",,Theory,False,"MATH 2207 Complex variable, Vector Analysis and Statistics Complex variable, Vector Analysis and Statistics Complex Variable: Complex number system, General functions of a complex variable, Limits and continuity of a function of complex variable and related theorems, Analytic functions, Complex differentiation, Sufficient condition for analyticity and Cauchy Riemann equations, Harmonic functions and conjugate harmonic functions, Construction of analytic functions when either part is given (Milne-Thomson method), Different types singularities, Line integral of a complex function, Cauchy’s integral theorem and converse of Cauchy’s theorem. Vector Analysis: Transformation of vectors on a plane: Scaling, Rotation, Translation, Linear dependence and independence of vectors, Scalar and vector fields, Differentiation of vectors together with elementary applications, Gradient, Divergence and curl of point functions and related forms, Green’s, Stokes’ and Gauss’ theorem and their applications. Statistics: Moment, Skewness and kurtosis, Random variables, Probability mass functions and probability density functions. Expectation: Expected value and variance with their properties. Discrete Probability Distributions: The Bernoulli and Poisson process, Binomial and Poisson probabilities, Distribution and properties. Continuous Probability Distributions: Normal variate and normal distribution, Properties of normal distribution, Standard normal variate and standard normal distribution, Properties of standard normal distribution, Uniform distribution and it’s properties.",MATH_2207_2nd Year_2nd Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 5}"
CSE 3100,Web Programming Laboratory,3rd Year,1st Term,,7,[7],1.5,0L+3P,"Internet communication protocols such as TCP/IP, FTP, SMTP and HTTP, Basic networking concepts, Advanced Web page development with dynamic HTML, JavaScript, AJAX, jQuery and Cascading Style Sheets, Server-side development technologies such as Perl, PHP, Laravel-PHP Framework, ASP.net, MVC Framework, Java Servlets, JSP and JSP.net, Basic SQL for database interaction.","CSE 3100: Web Programming Laboratory
Credits: 1.5
Contact Hours: 0L+3P Hrs/Week
Internet communication protocols such as TCP/IP, FTP, SMTP and HTTP, Basic networking concepts, Advanced Web page development with
dynamic HTML, JavaScript, AJAX, jQuery and Cascading Style Sheets, Server-side development technologies such as Perl, PHP, Laravel-PHP
Framework, ASP.net, MVC Framework, Java Servlets, JSP and JSP.net, Basic SQL for database interaction.",,Laboratory,False,"CSE 3100 Web Programming Laboratory Web Programming Laboratory Internet communication protocols such as TCP/IP, FTP, SMTP and HTTP, Basic networking concepts, Advanced Web page development with dynamic HTML, JavaScript, AJAX, jQuery and Cascading Style Sheets, Server-side development technologies such as Perl, PHP, Laravel-PHP Framework, ASP.net, MVC Framework, Java Servlets, JSP and JSP.net, Basic SQL for database interaction.",CSE_3100_3rd Year_1st Term,[],"{'theory_hours': 0.0, 'practical_hours': 3.0, 'credits': 1.5, 'source_page': 7}"
CSE 3101,Operating Systems,3rd Year,1st Term,,7,[7],3.0,3L+0P,"Introduction: The role of an operating system in computer systems, Operating system structure and operation. Process Management: Process concept, Process scheduling, Process state, Process management, Co-operating processes, Inter-process communication (IPC), Kernel. Threads: Multithreading models, Threading issues. CPU Scheduling: Scheduling criteria, Scheduling algorithm, Algorithm evaluation. Process Synchronization: Critical-section problem, Synchronization hardware, Semaphores, Classic problems of synchronization. Deadlocks: System model, Deadlock characterization, Methods for handling deadlocks, Deadlock prevention, Deadlock avoidance, Deadlock detection, Recovery from deadlock. Storage Management: Swapping, Contiguous memory allocation, Paging, Segmentation and segmentation with paging. Virtual Memory: Demand paging, Page replacement, Thrashing. File Concept: File support, Access methods, Allocation methods, Directory systems, File protection, Free space management. Distributed Systems: Types of distributed operating system, Communication protocols. Distributed File Systems: Naming and transparency, Remote file access. Protection and Security: Goals of protection, Domain of protection, Access matrix, Implementation of access matrix, The security problem, User authentication, Security system and facilities. Case Studies: Study of a representative operating system, OS administration.","CSE 3101: Operating Systems
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Introduction: The role of an operating system in computer systems, Operating system structure and operation.
Process Management: Process concept, Process scheduling, Process state, Process management, Co-operating processes, Inter-process
communication (IPC), Kernel.
Threads: Multithreading models, Threading issues.
CPU Scheduling: Scheduling criteria, Scheduling algorithm, Algorithm evaluation.
Process Synchronization: Critical-section problem, Synchronization hardware, Semaphores, Classic problems of synchronization.
Deadlocks: System model, Deadlock characterization, Methods for handling deadlocks, Deadlock prevention, Deadlock avoidance, Deadlock
detection, Recovery from deadlock.
Storage Management: Swapping, Contiguous memory allocation, Paging, Segmentation and segmentation with paging.
Virtual Memory: Demand paging, Page replacement, Thrashing.
File Concept: File support, Access methods, Allocation methods, Directory systems, File protection, Free space management.
Distributed Systems: Types of distributed operating system, Communication protocols.
Distributed File Systems: Naming and transparency, Remote file access.
Protection and Security: Goals of protection, Domain of protection, Access matrix, Implementation of access matrix, The security problem, User
authentication, Security system and facilities.
Case Studies: Study of a representative operating system, OS administration.",,Theory,False,"CSE 3101 Operating Systems Operating Systems Introduction: The role of an operating system in computer systems, Operating system structure and operation. Process Management: Process concept, Process scheduling, Process state, Process management, Co-operating processes, Inter-process communication (IPC), Kernel. Threads: Multithreading models, Threading issues. CPU Scheduling: Scheduling criteria, Scheduling algorithm, Algorithm evaluation. Process Synchronization: Critical-section problem, Synchronization hardware, Semaphores, Classic problems of synchronization. Deadlocks: System model, Deadlock characterization, Methods for handling deadlocks, Deadlock prevention, Deadlock avoidance, Deadlock detection, Recovery from deadlock. Storage Management: Swapping, Contiguous memory allocation, Paging, Segmentation and segmentation with paging. Virtual Memory: Demand paging, Page replacement, Thrashing. File Concept: File support, Access methods, Allocation methods, Directory systems, File protection, Free space management. Distributed Systems: Types of distributed operating system, Communication protocols. Distributed File Systems: Naming and transparency, Remote file access. Protection and Security: Goals of protection, Domain of protection, Access matrix, Implementation of access matrix, The security problem, User authentication, Security system and facilities. Case Studies: Study of a representative operating system, OS administration.",CSE_3101_3rd Year_1st Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 7}"
CSE 3102,Operating Systems Laboratory,3rd Year,1st Term,,7,[7],1.5,0L+3P,Laboratory works based on CSE 3101,"CSE 3102: Operating Systems Laboratory
Credits: 1.5
Contact Hours: 0L+3P Hrs/Week
Laboratory works based on CSE 3101",CSE 3101,Laboratory,True,CSE 3102 Operating Systems Laboratory Operating Systems Laboratory Laboratory works based on CSE 3101,CSE_3102_3rd Year_1st Term,[],"{'theory_hours': 0.0, 'practical_hours': 3.0, 'credits': 1.5, 'source_page': 7}"
CSE 3105,Embedded Systems and Internet of Things,3rd Year,1st Term,,7,[7],3.0,3L+0P,"Introduction to Embedded Systems: Embedded systems’ overview, Parts of an embedded system, Characteristics of embedded systems, Embedded systems’ design challenges – Optimizing design metrics, Constraint driven design, IP based design, Design methodology, Embedded systems on chip (SOC) Technology. Software Issues: Embedded programming, Designing, implementing and testing software for embedded systems, Embedded software development process and tools, Real-time operating system (RTOS). Hardware Issues: Choice of: Processor, Memory, I/O, Interfacing to commonly used I/O devices, Types of interconnections, Sensors for measuring physical phenomena, Output devices such as power actuators and motors. Hardware and software co-design Issues. Internet of Things (IoT): Introduction to IoT, IoT Devices, Trends in the adoption of IoT, Machine-to-machine communications, Interoperability in IoT, Programming with Arduino, Programming with raspberry Pi, Implementation of IoT with Arduino and raspberry Pi, Data handling and Analytics, Cloud computing, Fog computing, Industrial IoT. Case Study: Healthcare, Agriculture, Connected vehicles, Wearables, Smart home, Smart city.","CSE 3105: Embedded Systems and Internet of Things
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Introduction to Embedded Systems: Embedded systems’ overview, Parts of an embedded system, Characteristics of embedded systems,
Embedded systems’ design challenges – Optimizing design metrics, Constraint driven design, IP based design, Design methodology, Embedded
systems on chip (SOC) Technology.
Software Issues: Embedded programming, Designing, implementing and testing software for embedded systems, Embedded software
development process and tools, Real-time operating system (RTOS).
Hardware Issues: Choice of: Processor, Memory, I/O, Interfacing to commonly used I/O devices, Types of interconnections, Sensors for
measuring physical phenomena, Output devices such as power actuators and motors. Hardware and software co-design Issues.
Internet of Things (IoT): Introduction to IoT, IoT Devices, Trends in the adoption of IoT, Machine-to-machine communications, Interoperability
in IoT, Programming with Arduino, Programming with raspberry Pi, Implementation of IoT with Arduino and raspberry Pi, Data handling and
Analytics, Cloud computing, Fog computing, Industrial IoT.
Case Study: Healthcare, Agriculture, Connected vehicles, Wearables, Smart home, Smart city.",,Theory,False,"CSE 3105 Embedded Systems and Internet of Things Embedded Systems and Internet of Things Introduction to Embedded Systems: Embedded systems’ overview, Parts of an embedded system, Characteristics of embedded systems, Embedded systems’ design challenges – Optimizing design metrics, Constraint driven design, IP based design, Design methodology, Embedded systems on chip (SOC) Technology. Software Issues: Embedded programming, Designing, implementing and testing software for embedded systems, Embedded software development process and tools, Real-time operating system (RTOS). Hardware Issues: Choice of: Processor, Memory, I/O, Interfacing to commonly used I/O devices, Types of interconnections, Sensors for measuring physical phenomena, Output devices such as power actuators and motors. Hardware and software co-design Issues. Internet of Things (IoT): Introduction to IoT, IoT Devices, Trends in the adoption of IoT, Machine-to-machine communications, Interoperability in IoT, Programming with Arduino, Programming with raspberry Pi, Implementation of IoT with Arduino and raspberry Pi, Data handling and Analytics, Cloud computing, Fog computing, Industrial IoT. Case Study: Healthcare, Agriculture, Connected vehicles, Wearables, Smart home, Smart city.",CSE_3105_3rd Year_1st Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 7}"
CSE 3106,Embedded Systems and Internet of Things,3rd Year,1st Term,,7,"[7, 8]",0.75,0L+3/2P,Laboratory works based on CSE 3105,"CSE 3106: Embedded Systems and Internet of Things
Credits: 0.75
Contact Hours: 0L+3/2P Hrs/Week
Laboratory works based on CSE 3105",CSE 3105,Laboratory,True,CSE 3106 Embedded Systems and Internet of Things Embedded Systems and Internet of Things Laboratory works based on CSE 3105,CSE_3106_3rd Year_1st Term,[],"{'theory_hours': 0.0, 'practical_hours': 1.5, 'credits': 0.75, 'source_page': 7}"
