Model,mode,category,Hit@1,Hit@3,MRR,Recall@3,OOD_Accuracy,False_Acceptance_Rate,False_Rejection_Rate,queries,answerable_queries
model_c,end_to_end,partial,0.0,0.0,0.0,0.0,,,0.0,2,2
model_c,end_to_end,semantic,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,0.3333333333333333,9,9
model_c,end_to_end,typo,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,,,0.0,3,3
model_d,retrieval_only,ambiguous,1.0,1.0,1.0,0.8333333333333334,,,0.0,3,3
model_d,retrieval_only,exact,0.75,0.8333333333333334,0.7993464052287581,0.7916666666666666,,,0.16666666666666666,12,12
model_d,retrieval_only,metadata,0.5714285714285714,0.5714285714285714,0.5758167773736887,0.43537414965986393,,,0.14285714285714285,7,7
model_d,retrieval_only,negative,,,,,,0.42857142857142855,,7,0
model_d,retrieval_only,out_of_domain,,,,,1.0,0.0,,5,0
model_d,retrieval_only,partial,1.0,1.0,1.0,1.0,,,0.0,2,2
model_d,retrieval_only,semantic,0.7777777777777778,1.0,0.8703703703703703,0.9074074074074073,,,0.0,9,9
model_d,retrieval_only,typo,1.0,1.0,1.0,1.0,,,0.0,3,3
model_d,end_to_end,ambiguous,1.0,1.0,1.0,0.8333333333333334,,,0.0,3,3
model_d,end_to_end,exact,0.6666666666666666,0.75,0.6944444444444443,0.7083333333333334,,,0.16666666666666666,12,12
model_d,end_to_end,metadata,1.0,1.0,1.0,0.8775510204081634,,,0.0,7,7
model_d,end_to_end,negative,,,,,,0.0,,7,0
model_d,end_to_end,out_of_domain,,,,,1.0,0.0,,5,0
model_d,end_to_end,partial,1.0,1.0,1.0,1.0,,,0.0,2,2
model_d,end_to_end,semantic,0.7777777777777778,0.8888888888888888,0.8333333333333334,0.7592592592592592,,,0.0,9,9
model_d,end_to_end,typo,1.0,1.0,1.0,0.8333333333333334,,,0.0,3,3
