Model,mode,query_id,category,has_answer,accepted,top_score,status,top3,Hit@1,Hit@3,MRR,Recall@3
model_a,end_to_end,E025,semantic,True,True,0.20967516732932306,ok,CSE 4247,1.0,1.0,1.0,1.0
model_a,retrieval_only,E026,exact,True,True,0.13873303811939985,ranked,CSE 4239|CHEM 1207|CSE 1101,1.0,1.0,1.0,1.0
model_a,end_to_end,E026,exact,True,True,0.13873303811939985,ok,CSE 4239,1.0,1.0,1.0,1.0
model_a,retrieval_only,E027,semantic,True,False,0.0,ranked,CHEM 1207|CSE 1101|CSE 1107,0.0,0.0,0.0196078431372549,0.0
model_a,end_to_end,E027,semantic,True,False,0.0,no_match,,0.0,0.0,0.0,0.0
model_a,retrieval_only,E028,exact,True,True,0.14816951809759613,ranked,CSE 4249|CHEM 1207|CSE 1101,1.0,1.0,1.0,1.0
model_a,end_to_end,E028,exact,True,True,0.14816951809759613,ok,CSE 4249,1.0,1.0,1.0,1.0
model_a,retrieval_only,E029,exact,True,True,0.22043102608973864,ranked,CSE 4243|PHY 1107|EEE 1207,1.0,1.0,1.0,0.5
model_a,end_to_end,E029,exact,True,True,0.22043102608973864,ok,CSE 4243,1.0,1.0,1.0,0.5
model_a,retrieval_only,E030,exact,True,True,0.1960035043420122,ranked,CSE 4229|CSE 4224|CSE 1204,1.0,1.0,1.0,1.0
model_a,end_to_end,E030,exact,True,True,0.1960035043420122,ok,CSE 4229,1.0,1.0,1.0,1.0
model_a,retrieval_only,E031,semantic,True,True,0.12475019527371607,ranked,CSE 4229|ME 2170|CSE 2113,1.0,1.0,1.0,1.0
model_a,end_to_end,E031,semantic,True,True,0.12475019527371607,ok,CSE 4229,1.0,1.0,1.0,1.0
model_a,retrieval_only,E032,typo,True,True,0.5184098666518269,ranked,CSE 3102|CSE 3101|CSE 3200,0.0,1.0,0.5,1.0
model_a,end_to_end,E032,typo,True,True,0.5184098666518269,ok,CSE 3101,1.0,1.0,1.0,1.0
model_a,retrieval_only,E033,typo,True,True,0.5378057512319255,ranked,CSE 3110|CSE 4219|CSE 3109,0.0,1.0,0.5,1.0
model_a,end_to_end,E033,typo,True,True,0.5378057512319255,ok,CSE 3109,1.0,1.0,1.0,0.5
model_a,retrieval_only,E034,ambiguous,True,False,0.10590530367896842,ranked,CSE 4111|CSE 4243|CSE 4115,1.0,1.0,1.0,0.5
model_a,end_to_end,E034,ambiguous,True,False,0.10590530367896842,no_match,,0.0,0.0,0.0,0.0
model_a,retrieval_only,E035,ambiguous,True,True,0.21255815788321095,ranked,CSE 4101|CSE 4217|CSE 4243,1.0,1.0,1.0,1.0
model_a,end_to_end,E035,ambiguous,True,True,0.21255815788321095,ok,CSE 4101|CSE 4217|CSE 4243,1.0,1.0,1.0,1.0
model_a,retrieval_only,E036,partial,True,True,0.1917782015645878,ranked,CSE 4233|CSE 4217|PHY 1107,1.0,1.0,1.0,1.0
model_a,end_to_end,E036,partial,True,True,0.1917782015645878,ok,CSE 4233,1.0,1.0,1.0,1.0
model_a,retrieval_only,E037,metadata,True,True,0.3430216663795225,ranked,CSE 4122|CSE 4224|CSE 3102,1.0,1.0,1.0,1.0
model_a,end_to_end,E037,metadata,True,True,0.3430216663795225,ok,CSE 4122,1.0,1.0,1.0,1.0
model_a,retrieval_only,E038,metadata,True,True,0.2907754441772275,ranked,CSE 4112|CSE 4000|CSE 4111,0.0,1.0,0.3333333333333333,1.0
model_a,end_to_end,E038,metadata,True,True,0.2907754441772275,ok,CSE 4111,1.0,1.0,1.0,1.0
model_a,retrieval_only,E039,metadata,True,True,0.24300018327085898,ranked,CSE 4000|CSE 3200|CSE 3209,1.0,1.0,1.0,0.047619047619047616
model_a,end_to_end,E039,metadata,True,True,0.24300018327085898,ok,CSE 4000|CSE 4101|CSE 4102,1.0,1.0,1.0,0.14285714285714285
model_a,retrieval_only,E040,negative,False,False,0.07684744870464646,ranked,CSE 4121|CSE 4000|CSE 3230,,,,
model_a,end_to_end,E040,negative,False,False,0.07684744870464646,unsupported,,,,,
model_a,retrieval_only,E041,negative,False,False,0.07513024048476467,ranked,CSE 3109|CSE 4000|CSE 3230,,,,
model_a,end_to_end,E041,negative,False,False,0.07513024048476467,unsupported,,,,,
model_a,retrieval_only,E042,negative,False,True,0.11469507084970386,ranked,CSE 4224|CSE 3102|CSE 3110,,,,
model_a,end_to_end,E042,negative,False,False,0.11469507084970386,unsupported,,,,,
model_a,retrieval_only,E043,negative,False,False,0.06837168586839461,ranked,HUM 1108|CHEM 1207|CSE 1101,,,,
model_a,end_to_end,E043,negative,False,False,0.06837168586839461,no_match,,,,,
model_a,retrieval_only,E044,negative,False,False,0.0,ranked,CHEM 1207|CSE 1101|CSE 1107,,,,
model_a,end_to_end,E044,negative,False,False,0.0,no_match,,,,,
model_a,retrieval_only,E045,negative,False,False,0.0562624977722315,ranked,CSE 4129|HUM 1108|CHEM 1207,,,,
model_a,end_to_end,E045,negative,False,False,0.0562624977722315,no_match,,,,,
model_a,retrieval_only,E046,out_of_domain,False,False,0.10101515192092221,ranked,MATH 1107|CSE 4243|CSE 2208,,,,
model_a,end_to_end,E046,out_of_domain,False,False,0.10101515192092221,no_match,,,,,
model_a,retrieval_only,E047,out_of_domain,False,False,0.0,ranked,CHEM 1207|CSE 1101|CSE 1107,,,,
model_a,end_to_end,E047,out_of_domain,False,False,0.0,out_of_scope,,,,,
model_a,retrieval_only,E048,out_of_domain,False,False,0.0,ranked,CHEM 1207|CSE 1101|CSE 1107,,,,
model_a,end_to_end,E048,out_of_domain,False,False,0.0,out_of_scope,,,,,
model_b,retrieval_only,E001,exact,True,False,0.44001197814941406,ranked,CSE 4115|CSE 4215|CSE 3105,1.0,1.0,1.0,1.0
model_b,end_to_end,E001,exact,True,False,0.44001197814941406,no_match,,0.0,0.0,0.0,0.0
model_b,retrieval_only,E002,semantic,True,True,0.6585761308670044,ranked,CSE 4115|CSE 4215|CSE 4129,1.0,1.0,1.0,0.6666666666666666
model_b,end_to_end,E002,semantic,True,True,0.6585761308670044,ok,CSE 4115|CSE 4215|CSE 4129,1.0,1.0,1.0,0.6666666666666666
model_b,retrieval_only,E003,partial,True,True,0.6125096082687378,ranked,CSE 4115|CSE 4103|CSE 4105,1.0,1.0,1.0,1.0
model_b,end_to_end,E003,partial,True,True,0.6125096082687378,ok,CSE 4115,1.0,1.0,1.0,1.0
model_b,retrieval_only,E004,typo,True,True,0.6125096082687378,ranked,CSE 4115|CSE 4103|CSE 4105,1.0,1.0,1.0,1.0
model_b,end_to_end,E004,typo,True,True,0.6125096082687378,ok,CSE 4115,1.0,1.0,1.0,1.0
model_b,retrieval_only,E005,metadata,True,False,0.41832536458969116,ranked,CSE 3100|CSE 3120|CSE 2202,0.0,0.0,0.03225806451612903,0.0
model_b,end_to_end,E005,metadata,True,True,0.41832536458969116,ok,CSE 4121,1.0,1.0,1.0,1.0
model_b,retrieval_only,E006,metadata,True,True,0.9035117626190186,ranked,CSE 4122|CSE 4121|CSE 4245,0.0,1.0,0.5,1.0
model_b,end_to_end,E006,metadata,True,True,0.9035117626190186,ok,CSE 4121,1.0,1.0,1.0,1.0
model_b,retrieval_only,E007,metadata,True,False,0.41832536458969116,ranked,CSE 3100|CSE 3120|CSE 2202,0.0,0.0,0.03225806451612903,0.0
model_b,end_to_end,E007,metadata,True,True,0.41832536458969116,ok,CSE 4121,1.0,1.0,1.0,1.0
model_b,retrieval_only,E008,metadata,True,True,0.6317142248153687,ranked,CSE 4106|CSE 3110|CSE 2114,0.0,0.0,0.25,0.0
model_b,end_to_end,E008,metadata,True,True,0.6317142248153687,ok,CSE 4116,1.0,1.0,1.0,1.0
model_b,retrieval_only,E009,ambiguous,True,True,0.5531306266784668,ranked,CSE 4115|HUM 3247|CSE 4215,1.0,1.0,1.0,0.5
model_b,end_to_end,E009,ambiguous,True,True,0.5531306266784668,ok,CSE 4115,1.0,1.0,1.0,0.25
model_b,retrieval_only,E010,semantic,True,True,0.5740872025489807,ranked,CSE 4115|CSE 4116|CSE 4229,1.0,1.0,1.0,1.0
model_b,end_to_end,E010,semantic,True,True,0.5740872025489807,ok,CSE 4115|CSE 4116|CSE 4229,1.0,1.0,1.0,1.0
model_b,retrieval_only,E011,negative,False,False,0.46822819113731384,ranked,CHEM 1207|CSE 4249|CSE 4241,,,,
model_b,end_to_end,E011,negative,False,False,0.46822819113731384,no_match,,,,,
model_b,retrieval_only,E012,out_of_domain,False,False,0.45342403650283813,ranked,CSE 4000|CSE 3209|CSE 4215,,,,
model_b,end_to_end,E012,out_of_domain,False,False,0.45342403650283813,out_of_scope,,,,,
model_b,retrieval_only,E013,out_of_domain,False,False,0.3919830322265625,ranked,CSE 4211|EEE 2117|CSE 3107,,,,
model_b,end_to_end,E013,out_of_domain,False,False,0.3919830322265625,gibberish,,,,,
model_b,retrieval_only,E014,exact,True,True,0.49725908041000366,ranked,CSE 4247|CSE 3107|CSE 2208,0.0,0.0,0.045454545454545456,0.0
model_b,end_to_end,E014,exact,True,True,0.49725908041000366,ok,CSE 4247,0.0,0.0,0.0,0.0
model_b,retrieval_only,E015,exact,True,True,0.48470622301101685,ranked,CSE 4121|CSE 4229|HUM 1108,1.0,1.0,1.0,1.0
model_b,end_to_end,E015,exact,True,True,0.48470622301101685,ok,CSE 4121,1.0,1.0,1.0,1.0
model_b,retrieval_only,E016,semantic,True,True,0.5342421531677246,ranked,HUM 1108|CSE 4215|CSE 4229,0.0,0.0,0.25,0.0
model_b,end_to_end,E016,semantic,True,True,0.5342421531677246,ok,HUM 1108|CSE 4215|CSE 4229,0.0,0.0,0.0,0.0
model_b,retrieval_only,E017,exact,True,True,0.5664889812469482,ranked,CSE 2103|CSE 4111|CSE 4203,0.0,1.0,0.5,1.0
model_b,end_to_end,E017,exact,True,True,0.5664889812469482,ok,CSE 2103|CSE 4111|CSE 4203,0.0,1.0,0.5,1.0
model_b,retrieval_only,E018,semantic,True,True,0.6504437923431396,ranked,CSE 4111|CSE 4249|CSE 4131,1.0,1.0,1.0,1.0
model_b,end_to_end,E018,semantic,True,True,0.6504437923431396,ok,CSE 4111|CSE 4249|CSE 4131,1.0,1.0,1.0,1.0
model_b,retrieval_only,E019,exact,True,True,0.5527048110961914,ranked,CSE 2201|MATH 1207|MATH 2107,0.0,0.0,0.125,0.0
model_b,end_to_end,E019,exact,True,True,0.5527048110961914,ok,CSE 2201|MATH 1207|MATH 2107,0.0,0.0,0.0,0.0
model_b,retrieval_only,E020,semantic,True,True,0.5298642516136169,ranked,CSE 2201|CSE 4247|MATH 1207,1.0,1.0,1.0,0.5
model_b,end_to_end,E020,semantic,True,True,0.5298642516136169,ok,CSE 2201|CSE 4247|MATH 1207,1.0,1.0,1.0,0.5
model_b,retrieval_only,E021,exact,True,True,0.7255924344062805,ranked,CSE 4107|CSE 4217|MATH 2107,1.0,1.0,1.0,1.0
model_b,end_to_end,E021,exact,True,True,0.7255924344062805,ok,CSE 4107|CSE 4217|MATH 2107,1.0,1.0,1.0,1.0
model_b,retrieval_only,E022,exact,True,True,0.6525151133537292,ranked,CSE 4241|CSE 4227|CSE 4107,1.0,1.0,1.0,1.0
model_b,end_to_end,E022,exact,True,True,0.6525151133537292,ok,CSE 4241|CSE 4227|CSE 4107,1.0,1.0,1.0,1.0
model_b,retrieval_only,E023,semantic,True,True,0.6375972032546997,ranked,CSE 4241|CSE 4111|CSE 4231,1.0,1.0,1.0,1.0
model_b,end_to_end,E023,semantic,True,True,0.6375972032546997,ok,CSE 4241|CSE 4111|CSE 4231,1.0,1.0,1.0,1.0
model_b,retrieval_only,E024,exact,True,True,0.6008507013320923,ranked,CSE 4247|CSE 4101|CSE 4217,1.0,1.0,1.0,1.0
model_b,end_to_end,E024,exact,True,True,0.6008507013320923,ok,CSE 4247,1.0,1.0,1.0,1.0
model_b,retrieval_only,E025,semantic,True,True,0.7078492641448975,ranked,CSE 4247|CSE 4237|MATH 2107,1.0,1.0,1.0,1.0
model_b,end_to_end,E025,semantic,True,True,0.7078492641448975,ok,CSE 4247|CSE 4237|MATH 2107,1.0,1.0,1.0,1.0
model_b,retrieval_only,E026,exact,True,True,0.5911450386047363,ranked,CSE 4239|CSE 4249|MATH 2207,1.0,1.0,1.0,1.0
model_b,end_to_end,E026,exact,True,True,0.5911450386047363,ok,CSE 4239|CSE 4249|MATH 2207,1.0,1.0,1.0,1.0
model_b,retrieval_only,E027,semantic,True,True,0.5863379240036011,ranked,CSE 4239|CSE 4229|CSE 3109,1.0,1.0,1.0,1.0
model_b,end_to_end,E027,semantic,True,True,0.5863379240036011,ok,CSE 4239|CSE 4229|CSE 3109,1.0,1.0,1.0,1.0
model_b,retrieval_only,E028,exact,True,False,0.29333168268203735,ranked,PHY 1107|CSE 4111|CHEM 1207,0.0,0.0,0.0625,0.0
model_b,end_to_end,E028,exact,True,False,0.29333168268203735,no_match,,0.0,0.0,0.0,0.0
model_b,retrieval_only,E029,exact,True,False,0.42420533299446106,ranked,HUM 3247|CSE 4243|CSE 3209,0.0,1.0,0.5,0.5
model_b,end_to_end,E029,exact,True,False,0.42420533299446106,no_match,,0.0,0.0,0.0,0.0
model_b,retrieval_only,E030,exact,True,True,0.6094948053359985,ranked,CSE 4229|CSE 1204|CSE 4224,1.0,1.0,1.0,1.0
model_b,end_to_end,E030,exact,True,True,0.6094948053359985,ok,CSE 4229,1.0,1.0,1.0,1.0
model_b,retrieval_only,E031,semantic,True,True,0.5612821578979492,ranked,CSE 4229|HUM 3247|CSE 4129,1.0,1.0,1.0,1.0
model_b,end_to_end,E031,semantic,True,True,0.5612821578979492,ok,CSE 4229,1.0,1.0,1.0,1.0
model_b,retrieval_only,E032,typo,True,True,0.8253341317176819,ranked,CSE 3102|CSE 3101|CSE 4219,0.0,1.0,0.5,1.0
model_b,end_to_end,E032,typo,True,True,0.8253341317176819,ok,CSE 3101,1.0,1.0,1.0,1.0
model_b,retrieval_only,E033,typo,True,True,0.856831431388855,ranked,CSE 3110|CSE 4219|CSE 3109,0.0,1.0,0.5,1.0
model_b,end_to_end,E033,typo,True,True,0.856831431388855,ok,CSE 3109,1.0,1.0,1.0,0.5
model_b,retrieval_only,E034,ambiguous,True,True,0.5788016319274902,ranked,CSE 4111|CSE 4105|CSE 4249,1.0,1.0,1.0,0.5
model_b,end_to_end,E034,ambiguous,True,True,0.5788016319274902,ok,CSE 4111|CSE 4105|CSE 4249,1.0,1.0,1.0,0.5
model_b,retrieval_only,E035,ambiguous,True,True,0.5926386117935181,ranked,CSE 4101|CSE 4217|CSE 4107,1.0,1.0,1.0,1.0
model_b,end_to_end,E035,ambiguous,True,True,0.5926386117935181,ok,CSE 4101|CSE 4217|CSE 4107,1.0,1.0,1.0,1.0
model_b,retrieval_only,E036,partial,True,True,0.5572060942649841,ranked,CSE 4233|PHY 1107|CSE 4241,1.0,1.0,1.0,1.0
model_b,end_to_end,E036,partial,True,True,0.5572060942649841,ok,CSE 4233,1.0,1.0,1.0,1.0
model_b,retrieval_only,E037,metadata,True,False,0.41832536458969116,ranked,CSE 3100|CSE 3120|CSE 2202,0.0,0.0,0.14285714285714285,0.0
model_b,end_to_end,E037,metadata,True,True,0.41832536458969116,ok,CSE 4122,1.0,1.0,1.0,1.0
model_b,retrieval_only,E038,metadata,True,True,0.501593291759491,ranked,CSE 4000|HUM 2207|CSE 3200,0.0,0.0,0.02564102564102564,0.0
model_b,end_to_end,E038,metadata,True,True,0.501593291759491,ok,CSE 4111,1.0,1.0,1.0,1.0
model_b,retrieval_only,E039,metadata,True,True,0.49892908334732056,ranked,CSE 4000|HUM 2207|MATH 1207,1.0,1.0,1.0,0.047619047619047616
model_b,end_to_end,E039,metadata,True,True,0.49892908334732056,ok,CSE 4000|CSE 4101|CSE 4102,1.0,1.0,1.0,0.14285714285714285
model_b,retrieval_only,E040,negative,False,False,0.3673054277896881,ranked,HUM 1108|HUM 3247|CSE 3209,,,,
model_b,end_to_end,E040,negative,False,False,0.3673054277896881,unsupported,,,,,
model_b,retrieval_only,E041,negative,False,True,0.6288858652114868,ranked,CSE 3209|CSE 3200|HUM 4207,,,,
model_b,end_to_end,E041,negative,False,False,0.6288858652114868,unsupported,,,,,
model_b,retrieval_only,E042,negative,False,False,0.41832536458969116,ranked,CSE 3100|CSE 3120|CSE 2202,,,,
model_b,end_to_end,E042,negative,False,False,0.41832536458969116,unsupported,,,,,
model_b,retrieval_only,E043,negative,False,False,0.344380259513855,ranked,ME 2170|HUM 1108|CSE 2208,,,,
model_b,end_to_end,E043,negative,False,False,0.344380259513855,no_match,,,,,
model_b,retrieval_only,E044,negative,False,False,0.32803359627723694,ranked,HUM 1108|HUM 1107|ME 2170,,,,
model_b,end_to_end,E044,negative,False,False,0.32803359627723694,no_match,,,,,
model_b,retrieval_only,E045,negative,False,True,0.500071108341217,ranked,CSE 4217|CSE 4237|CSE 4129,,,,
model_b,end_to_end,E045,negative,False,True,0.500071108341217,ok,CSE 4217,,,,
model_b,retrieval_only,E046,out_of_domain,False,False,0.43684476613998413,ranked,CSE 3200|CSE 3107|CSE 4215,,,,
model_b,end_to_end,E046,out_of_domain,False,False,0.43684476613998413,no_match,,,,,
model_b,retrieval_only,E047,out_of_domain,False,True,0.581803023815155,ranked,CSE 4000|HUM 1108|CSE 3209,,,,
model_b,end_to_end,E047,out_of_domain,False,False,0.581803023815155,out_of_scope,,,,,
model_b,retrieval_only,E048,out_of_domain,False,False,0.36350542306900024,ranked,CSE 4000|HUM 4207|HUM 2207,,,,
model_b,end_to_end,E048,out_of_domain,False,False,0.36350542306900024,out_of_scope,,,,,
model_c,retrieval_only,E001,exact,True,True,0.8967903256416321,ranked,CSE 4111|CSE 4101|CSE 4105,0.0,0.0,0.14285714285714285,0.0
model_c,end_to_end,E001,exact,True,True,0.8967903256416321,ok,CSE 4111|CSE 4101|CSE 4105,0.0,0.0,0.0,0.0
model_c,retrieval_only,E002,semantic,True,True,0.8513655662536621,ranked,CSE 4105|CSE 4111|CSE 2113,0.0,0.0,0.14285714285714285,0.0
model_c,end_to_end,E002,semantic,True,True,0.8513655662536621,ok,CSE 4105|CSE 4111|CSE 2113,0.0,0.0,0.0,0.0
model_c,retrieval_only,E003,partial,True,True,0.8959305882453918,ranked,CSE 4111|CSE 4105|CSE 3109,0.0,0.0,0.07692307692307693,0.0
model_c,end_to_end,E003,partial,True,True,0.8959305882453918,ok,CSE 4111|CSE 4105|CSE 3109,0.0,0.0,0.0,0.0
model_c,retrieval_only,E004,typo,True,True,0.8959305882453918,ranked,CSE 4111|CSE 4105|CSE 3109,0.0,0.0,0.07692307692307693,0.0
model_c,end_to_end,E004,typo,True,True,0.8959305882453918,ok,CSE 4111|CSE 4105|CSE 3109,0.0,0.0,0.0,0.0
model_c,retrieval_only,E005,metadata,True,True,0.8031273484230042,ranked,CSE 4111|CSE 4105|CSE 4101,0.0,0.0,0.038461538461538464,0.0
model_c,end_to_end,E005,metadata,True,True,0.8031273484230042,ok,CSE 4121,1.0,1.0,1.0,1.0
model_c,retrieval_only,E006,metadata,True,True,0.806151270866394,ranked,CSE 2113|CSE 4111|CSE 4105,0.0,0.0,0.1,0.0
model_c,end_to_end,E006,metadata,True,True,0.806151270866394,ok,CSE 4121,1.0,1.0,1.0,1.0
model_c,retrieval_only,E007,metadata,True,True,0.8031273484230042,ranked,CSE 4111|CSE 4105|CSE 4101,0.0,0.0,0.038461538461538464,0.0
model_c,end_to_end,E007,metadata,True,True,0.8031273484230042,ok,CSE 4121,1.0,1.0,1.0,1.0
model_c,retrieval_only,E008,metadata,True,False,0.14180459082126617,ranked,CSE 4102|CSE 1206|CSE 4122,0.0,0.0,0.05555555555555555,0.0
model_c,end_to_end,E008,metadata,True,True,0.14180459082126617,ok,CSE 4116,1.0,1.0,1.0,1.0
model_c,retrieval_only,E009,ambiguous,True,True,0.8555847406387329,ranked,CSE 4105|CSE 4111|CSE 3101,0.0,0.0,0.1,0.0
model_c,end_to_end,E009,ambiguous,True,True,0.8555847406387329,ok,CSE 4105|CSE 4111,0.0,0.0,0.0,0.0
model_c,retrieval_only,E010,semantic,True,True,0.9064676761627197,ranked,CSE 4105|CSE 4111|CSE 4101,0.0,0.0,0.125,0.0
model_c,end_to_end,E010,semantic,True,True,0.9064676761627197,ok,CSE 4105|CSE 4111|CSE 4101,0.0,0.0,0.0,0.0
model_c,retrieval_only,E011,negative,False,True,0.7916229367256165,ranked,CSE 4105|CSE 4111|CSE 2113,,,,
model_c,end_to_end,E011,negative,False,True,0.7916229367256165,ok,CSE 4105|CSE 4111,,,,
model_c,retrieval_only,E012,out_of_domain,False,False,0.2907698452472687,ranked,CSE 4115|CSE 4215|CSE 4129,,,,
model_c,end_to_end,E012,out_of_domain,False,False,0.2907698452472687,out_of_scope,,,,,
model_c,retrieval_only,E013,out_of_domain,False,True,0.8655152320861816,ranked,CSE 4111|CSE 4105|CSE 4101,,,,
model_c,end_to_end,E013,out_of_domain,False,False,0.8655152320861816,gibberish,,,,,
model_c,retrieval_only,E014,exact,True,False,0.7484620213508606,ranked,CSE 4105|CSE 4111|CSE 2113,0.0,0.0,0.16666666666666666,0.0
model_c,end_to_end,E014,exact,True,False,0.7484620213508606,no_match,,0.0,0.0,0.0,0.0
model_c,retrieval_only,E015,exact,True,True,0.8187130093574524,ranked,CSE 4105|CSE 2113|CSE 4111,0.0,0.0,0.058823529411764705,0.0
model_c,end_to_end,E015,exact,True,True,0.8187130093574524,ok,CSE 4105|CSE 2113|CSE 4111,0.0,0.0,0.0,0.0
